relative_position,army_value,current_stage,gameloop
0.3438752498481006,2850,mid,28800
0.6961053687418758,6825,mid,33120
0.0377576304589336,2550,mid,9840
0.12497475752769027,2025,mid,10320
0.34821261962334016,2100,mid,28560
0.15265974764102364,3000,mid,30960
0.185724629962791,4200,mid,31920
0.8386003740664316,5625,mid,11760
0.8008726808842844,4500,mid,13200
0.9306345929329679,2825,mid,19440
0.6863883751651556,2550,mid,19920
0.7493986388591581,3800,mid,15120
0.3929337265580338,4025,mid,18480
0.7265861798854938,2125,mid,19920
0.8610742679145827,2500,mid,22800
0.929877926115809,2575,mid,25200
0.9340464579905736,3775,mid,25440
0.9104392847542511,3000,mid,30720
0.803354668666024,2800,mid,30960
0.6328722233778079,2400,mid,31680
0.9117150778336199,3200,mid,19440
0.4922349058767824,4200,mid,20160
0.14012840881556982,6125,mid,20640
0.6396184793966543,2725,mid,21840
0.6090168501442553,5525,mid,22320
0.26651078559970076,2700,mid,24240
0.8985837682396377,4825,mid,24480
0.889093257635375,4675,mid,16800
0.19441372115152328,2250,mid,15360
0.07511110609808963,4725,mid,16080
0.12096730535424316,3525,mid,17040
0.9109382619831052,3975,mid,19680
0.3863867296244582,9125,mid,31440
0.39852849627879344,9050,mid,35040
0.467240193444988,3775,mid,37200
0.8417526595926155,7700,mid,40320
0.20373330461220318,3975,mid,15360
0.9203791608510876,3050,mid,8640
0.13663408457369153,4650,mid,12960
0.2511099249517862,3600,mid,24480
0.15061342228059404,6050,mid,26400
0.9219364457432669,2900,mid,16560
0.8957272316151508,4425,mid,16800
0.6697246559805121,5250,mid,26640
0.9091188162891104,4200,mid,13920
0.8280350755308752,4950,mid,13440
0.8874031471335943,3450,mid,13680
0.37849860308862915,5500,mid,15360
0.34482136605383107,3825,mid,15600
0.8153518752811245,3100,mid,24000
0.9014065361978478,4550,mid,27360
0.2740298174219009,4650,mid,17520
0.873619956913271,6300,mid,17040
0.7585030031449342,5700,mid,39120
0.0873680559132613,6225,mid,14400
0.04352382339908656,3575,mid,11520
0.23399912094805875,4800,mid,12000
0.07243097223843986,3875,mid,15840
0.15841491553135512,4100,mid,16080
0.0626552114462931,2400,mid,13200
0.9302771785140815,2400,mid,18720
0.08188840895723803,2950,mid,20160
0.4650170367215046,3425,mid,26160
0.2102753063048518,3700,mid,30720
0.12066752886466614,2200,mid,31200
0.12898475946600452,5125,mid,21120
0.39170517255756215,2825,mid,21600
0.3179090830088714,2025,mid,27600
0.22023477802168911,3525,mid,27840
0.22023477802168911,5750,mid,29520
0.1135613051390364,2875,mid,18960
0.605670747824775,4975,mid,22320
0.7515560434445933,4700,mid,22800
0.797200300068498,4000,mid,23040
0.7382069463961322,2575,mid,24480
0.5834736319003462,2200,mid,30960
0.6776667824085194,2725,mid,31200
0.6743358036209581,2550,mid,32160
0.7811301387229617,9925,mid,32400
0.8773085087514482,9125,mid,32640
0.8141046946232303,6600,mid,32880
0.6449635910132786,2575,mid,33120
0.695154559476601,2275,mid,33360
0.9308262130859903,2400,mid,24480
0.9353559014837335,2800,mid,24720
0.1453646958558482,3650,mid,26640
0.13050841152485593,2000,mid,27120
0.6344237222163174,2050,mid,27360
0.9507006702317043,2825,mid,30000
