name,race,matchup,relative_position,army_x,army_y,total_army_value,died_army_value,gameloop
iGXiGua,Zerg,ZvZ,0.02117024498079101,45,61,100,25,5040
正义的泉水沟,Zerg,ZvZ,0.6665738964445156,84,88,0,0,5280
iGXiGua,Zerg,ZvZ,0.1578448206008361,63,76,0,0,5280
正义的泉水沟,Zerg,ZvZ,0.021840780044651287,154,144,150,125,5760
iGXiGua,Zerg,ZvZ,0.2063499832865629,69,79,250,50,5760
正义的泉水沟,Zerg,ZvZ,0.021840780044651287,139,160,100,0,6000
iGXiGua,Zerg,ZvZ,0.02117024498079101,60,45,50,50,6000
正义的泉水沟,Zerg,ZvZ,0.026138759101101527,139,160,150,0,6480
iGXiGua,Zerg,ZvZ,0.28214636320623876,81,95,125,0,6480
正义的泉水沟,Zerg,ZvZ,0.7539259131495156,48,100,525,0,6720
iGXiGua,Zerg,ZvZ,0.26432123225797327,51,102,150,0,6720
正义的泉水沟,Zerg,ZvZ,0.6927682957797381,85,84,375,0,6960
iGXiGua,Zerg,ZvZ,0.02117024498079101,45,61,275,0,6960
正义的泉水沟,Zerg,ZvZ,0.02603314844807625,155,144,225,0,7200
iGXiGua,Zerg,ZvZ,0.669615074757728,117,120,275,0,7200
正义的泉水沟,Zerg,ZvZ,0.027714066757643596,138,160,525,25,7440
iGXiGua,Zerg,ZvZ,0.024416726619578055,45,61,800,150,7440
正义的泉水沟,Zerg,ZvZ,0.241355016003859,152,113,425,325,7680
iGXiGua,Zerg,ZvZ,0.09851564052345613,55,73,600,300,7680
正义的泉水沟,Zerg,ZvZ,0.024919376528930393,154,144,425,275,7920
iGXiGua,Zerg,ZvZ,0.02117024498079101,60,45,200,200,7920
正义的泉水沟,Zerg,ZvZ,0.22503482796052704,149,117,400,100,8160
iGXiGua,Zerg,ZvZ,0.7565438258954734,151,113,250,200,8160
正义的泉水沟,Zerg,ZvZ,0.09387186236893019,143,150,425,50,8400
iGXiGua,Zerg,ZvZ,0.024416726619578055,45,61,0,0,8400
正义的泉水沟,Zerg,ZvZ,0.024919376528930393,154,144,175,0,8640
iGXiGua,Zerg,ZvZ,0.8971397272922191,143,108,50,50,8640
正义的泉水沟,Zerg,ZvZ,0.06918680026152058,152,121,175,0,8880
iGXiGua,Zerg,ZvZ,0.9239978979382999,147,119,50,50,8880
正义的泉水沟,Zerg,ZvZ,0.024919376528930393,154,144,225,0,9120
iGXiGua,Zerg,ZvZ,0.02537888418961931,60,45,125,25,9120
正义的泉水沟,Zerg,ZvZ,0.026138759101101527,139,160,275,200,9360
iGXiGua,Zerg,ZvZ,0.2814518464420467,76,103,450,200,9360
正义的泉水沟,Zerg,ZvZ,0.026138759101101527,139,160,450,225,10080
iGXiGua,Zerg,ZvZ,0.02690499562210602,46,95,675,100,10080
正义的泉水沟,Zerg,ZvZ,0.6114579235377009,83,122,150,0,10560
iGXiGua,Zerg,ZvZ,0.02551650971379532,44,61,0,0,10560
正义的泉水沟,Zerg,ZvZ,0.07812887965028759,149,121,300,0,11040
iGXiGua,Zerg,ZvZ,0.7578014449351597,130,131,50,0,11040
正义的泉水沟,Zerg,ZvZ,0.06733263228673692,146,111,2425,525,11280
iGXiGua,Zerg,ZvZ,0.02537888418961931,60,45,1775,575,11280
正义的泉水沟,Zerg,ZvZ,0.026138759101101527,139,160,1900,700,11520
iGXiGua,Zerg,ZvZ,0.02689810443087942,61,45,1700,900,11520
正义的泉水沟,Zerg,ZvZ,0.024919376528930393,154,144,100,0,11760
iGXiGua,Zerg,ZvZ,0.02689810443087942,61,45,0,0,11760
正义的泉水沟,Zerg,ZvZ,0.0831354465312758,131,158,150,0,12240
iGXiGua,Zerg,ZvZ,0.02827832730281682,45,101,150,0,12240
正义的泉水沟,Zerg,ZvZ,0.04452217039468187,153,109,150,0,12480
iGXiGua,Zerg,ZvZ,0.02537888418961931,60,45,150,0,12480
正义的泉水沟,Zerg,ZvZ,0.02603314844807625,155,144,0,0,12720
iGXiGua,Zerg,ZvZ,0.02807120663801005,45,95,0,0,12720
正义的泉水沟,Zerg,ZvZ,0.027107422622888233,153,110,2000,0,12960
iGXiGua,Zerg,ZvZ,0.02537888418961931,60,45,1450,0,12960
正义的泉水沟,Zerg,ZvZ,0.024919376528930393,154,144,2700,1100,13200
iGXiGua,Zerg,ZvZ,0.02537888418961931,60,45,2550,850,13200
正义的泉水沟,Zerg,ZvZ,0.026433562317525527,153,144,2700,1400,13440
iGXiGua,Zerg,ZvZ,0.024416726619578055,45,61,2000,400,13440
正义的泉水沟,Zerg,ZvZ,0.7195844482704615,70,119,1750,800,13680
iGXiGua,Zerg,ZvZ,0.02653373431649686,59,45,2050,750,13680
正义的泉水沟,Zerg,ZvZ,0.027107422622888233,153,110,1600,100,13920
iGXiGua,Zerg,ZvZ,0.02551650971379532,44,61,1550,650,13920
正义的泉水沟,Zerg,ZvZ,0.027107422622888233,153,110,1800,1100,14160
iGXiGua,Zerg,ZvZ,0.2463600565822477,69,113,2000,1100,14160
正义的泉水沟,Zerg,ZvZ,0.906174552135386,61,59,1100,900,14400
iGXiGua,Zerg,ZvZ,0.02857142857142858,47,95,1150,700,14400
正义的泉水沟,Zerg,ZvZ,0.027107422622888233,153,110,600,600,14640
iGXiGua,Zerg,ZvZ,0.02551650971379532,44,61,1050,0,14640
正义的泉水沟,Zerg,ZvZ,0.9285456789086703,52,103,1700,600,15120
iGXiGua,Zerg,ZvZ,0.14655626577861647,76,53,1900,600,15120
正义的泉水沟,Zerg,ZvZ,0.01848947027332193,155,145,1100,600,15360
iGXiGua,Zerg,ZvZ,0.024416726619578055,45,61,1500,1000,15360
正义的泉水沟,Zerg,ZvZ,0.02827832730281682,154,110,1200,600,15600
iGXiGua,Zerg,ZvZ,0.02689810443087942,61,45,1000,700,15600
正义的泉水沟,Zerg,ZvZ,0.02827832730281682,154,110,1500,600,15840
iGXiGua,Zerg,ZvZ,0.024416726619578055,45,61,700,300,15840
正义的泉水沟,Zerg,ZvZ,0.027107422622888233,153,110,1200,500,16080
iGXiGua,Zerg,ZvZ,0.08275787333071805,51,90,1100,400,16080
正义的泉水沟,Zerg,ZvZ,0.7180656845017802,71,118,400,0,16320
iGXiGua,Zerg,ZvZ,0.2201200592303192,65,114,600,0,16320
正义的泉水沟,Zerg,ZvZ,0.024919376528930393,154,144,1400,0,16560
iGXiGua,Zerg,ZvZ,0.10018184025214505,57,64,350,250,16560
iGXiGua,Zerg,ZvZ,0.19572873603530616,110,117,300,0,4320
正义的泉水沟,Zerg,ZvZ,0.024900882566036286,57,26,150,0,4320
iGXiGua,Zerg,ZvZ,0.022754014216749607,137,130,300,0,4560
正义的泉水沟,Zerg,ZvZ,0.024869275011269232,30,35,0,0,4560
iGXiGua,Zerg,ZvZ,0.9134545304205887,63,37,500,25,5520
正义的泉水沟,Zerg,ZvZ,0.024869275011269232,30,35,300,0,5520
iGXiGua,Zerg,ZvZ,0.022754014216749607,137,130,325,0,5760
正义的泉水沟,Zerg,ZvZ,0.024869275011269232,30,35,450,0,5760
iGXiGua,Zerg,ZvZ,0.9006072431614168,48,37,150,100,6000
正义的泉水沟,Zerg,ZvZ,0.1102825262702185,46,37,450,150,6000
iGXiGua,Zerg,ZvZ,0.022754014216749607,137,130,50,0,6240
正义的泉水沟,Zerg,ZvZ,0.024869275011269232,30,35,150,0,6240
iGXiGua,Zerg,ZvZ,0.023980352220505874,110,139,0,0,6480
正义的泉水沟,Zerg,ZvZ,0.02625610131124373,58,26,0,0,6480
iGXiGua,Zerg,ZvZ,0.02699889009990697,81,138,0,0,7920
正义的泉水沟,Zerg,ZvZ,0.49271690164500054,65,85,1000,0,7920
iGXiGua,Zerg,ZvZ,0.028428461851988107,82,138,0,0,8160
正义的泉水沟,Zerg,ZvZ,0.024900882566036286,57,26,1000,0,8160
iGXiGua,Zerg,ZvZ,0.048980020848264916,106,138,300,0,8400
正义的泉水沟,Zerg,ZvZ,0.024869275011269232,30,35,1000,0,8400
iGXiGua,Zerg,ZvZ,0.0261755136642684,110,139,750,0,8640
正义的泉水沟,Zerg,ZvZ,0.952920775904686,86,139,1000,0,8640
iGXiGua,Zerg,ZvZ,0.03459194532557153,82,145,500,0,8880
正义的泉水沟,Zerg,ZvZ,0.024869275011269232,30,35,1000,0,8880
iGXiGua,Zerg,ZvZ,0.02699889009990697,81,138,0,0,9120
正义的泉水沟,Zerg,ZvZ,0.024900882566036286,57,26,800,0,9120
iGXiGua,Zerg,ZvZ,0.0261755136642684,110,139,0,0,9840
正义的泉水沟,Zerg,ZvZ,0.025617029612968634,86,27,150,0,9840
iGXiGua,Zerg,ZvZ,0.02750627626847668,136,130,1650,100,10080
正义的泉水沟,Zerg,ZvZ,0.026272847174468317,31,35,1850,100,10080
iGXiGua,Zerg,ZvZ,0.0261755136642684,110,139,2450,550,10320
正义的泉水沟,Zerg,ZvZ,0.024900882566036286,57,26,3500,700,10320
iGXiGua,Zerg,ZvZ,0.0261755136642684,110,139,2450,850,10560
正义的泉水沟,Zerg,ZvZ,0.026167332465214466,56,26,3200,1100,10560
iGXiGua,Zerg,ZvZ,0.04832881947945877,83,136,2350,1100,10800
正义的泉水沟,Zerg,ZvZ,0.025617029612968634,86,27,2500,1300,10800
iGXiGua,Zerg,ZvZ,0.027499858612925865,111,139,1750,1050,11040
正义的泉水沟,Zerg,ZvZ,0.025617029612968634,86,27,1600,700,11040
iGXiGua,Zerg,ZvZ,0.0261755136642684,110,139,1100,500,11280
正义的泉水沟,Zerg,ZvZ,0.01937747020137498,87,28,1600,600,11280
iGXiGua,Zerg,ZvZ,0.027603088635175077,109,139,1300,950,11520
正义的泉水沟,Zerg,ZvZ,0.025617029612968634,86,27,1700,600,11520
iGXiGua,Zerg,ZvZ,0.08507879070252011,84,132,1000,400,11760
正义的泉水沟,Zerg,ZvZ,0.025617029612968634,86,27,1600,700,11760
iGXiGua,Zerg,ZvZ,0.0261755136642684,110,139,1350,500,12000
正义的泉水沟,Zerg,ZvZ,0.8359996229708694,84,123,1600,800,12000
iGXiGua,Zerg,ZvZ,0.027290586935491412,138,130,1100,200,12240
正义的泉水沟,Zerg,ZvZ,0.024900882566036286,57,26,1300,500,12240
iGXiGua,Zerg,ZvZ,0.08099171621578449,81,132,150,0,12480
正义的泉水沟,Zerg,ZvZ,0.026974426951288988,85,27,200,0,12480
iGXiGua,Zerg,ZvZ,0.09537816144224642,75,132,150,0,12720
正义的泉水沟,Zerg,ZvZ,0.024869275011269232,30,35,200,100,12720
iGXiGua,Zerg,ZvZ,0.2263425081786029,80,121,200,0,13680
正义的泉水沟,Zerg,ZvZ,0.025330571599463503,30,35,0,0,13680
iGXiGua,Zerg,ZvZ,0.029295953990203905,110,139,600,0,13920
正义的泉水沟,Zerg,ZvZ,0.02796085486701938,57,26,600,200,13920
iGXiGua,Zerg,ZvZ,0.11425889417088675,72,136,400,0,14160
正义的泉水沟,Zerg,ZvZ,0.7480626790557489,58,132,800,0,14160
iGXiGua,Zerg,ZvZ,0.026196000582776602,137,130,650,100,14400
正义的泉水沟,Zerg,ZvZ,0.8410230429628051,67,136,1000,0,14400
iGXiGua,Zerg,ZvZ,0.026196000582776602,137,130,250,150,14640
正义的泉水沟,Zerg,ZvZ,0.03401279073562702,87,27,1000,0,14640
iGXiGua,Zerg,ZvZ,0.3423429539644294,103,85,2000,100,14880
正义的泉水沟,Zerg,ZvZ,0.026832352087583833,31,35,1600,0,14880
iGXiGua,Zerg,ZvZ,0.029295953990203905,110,139,1600,200,15120
正义的泉水沟,Zerg,ZvZ,0.025330571599463503,30,35,1800,0,15120
iGXiGua,Zerg,ZvZ,0.9437033763777135,48,63,1100,0,15360
正义的泉水沟,Zerg,ZvZ,0.02796085486701938,57,26,1900,200,15360
iGXiGua,Zerg,ZvZ,0.5332363640423491,98,69,3000,400,15600
正义的泉水沟,Zerg,ZvZ,0.6479980685683306,98,88,3700,200,15600
iGXiGua,Zerg,ZvZ,0.0261755136642684,110,139,4200,600,15840
正义的泉水沟,Zerg,ZvZ,0.2781583610636245,62,58,4850,450,15840
iGXiGua,Zerg,ZvZ,0.2250308537333806,81,121,1650,600,16080
正义的泉水沟,Zerg,ZvZ,0.6456630444652794,81,109,3200,0,16080
iGXiGua,Zerg,ZvZ,0.029295953990203905,110,139,0,0,16320
正义的泉水沟,Zerg,ZvZ,0.02796085486701938,57,26,2800,0,16320
iGXiGua,Zerg,ZvZ,0.22696955407408304,95,123,3600,900,16800
正义的泉水沟,Zerg,ZvZ,0.02796085486701938,57,26,3400,1200,16800
iGXiGua,Zerg,ZvZ,0.20198272763027159,83,123,1600,0,17040
正义的泉水沟,Zerg,ZvZ,0.02796085486701938,57,26,2200,0,17040
iGXiGua,Zerg,ZvZ,0.030653430031715556,111,139,1900,300,17520
正义的泉水沟,Zerg,ZvZ,0.025330571599463503,30,35,2800,400,17520
iGXiGua,Zerg,ZvZ,0.034283975499141306,81,138,3350,600,17760
